Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.131-65.54.95.68-56255-80-6,192.168.3.131,56255,65.54.95.68,80,6,26/01/2011 01:54:05 AM,3634245,5,7,660.0,4752.0,660.0,0.0,132.0,295.16097302997224,1460.0,0.0,678.8571428571429,742.4346051048152,1489.1676262882663,3.301923783344271,330385.90909090906,1080275.303647589,3587493.0,3.0,46752.0,11688.0,8269.756707424953,20115.0,355.0,3622019.0,603669.8333333334,1461811.7305690793,3587557.0,3.0,0,0,0,0,112,152,1.3758015763934464,1.9261222069508248,0.0,1460.0,416.3076923076923,626.8789602221714,392977.23076923075,1,2,0,2,11,0,0,0,1.0,451.0,132.0,678.8571428571429,0,0,0,5412,5,158914,0,55,0,396,8192,6296,1,20,0,0,0,0,1.29598164577151E15,0.0,1.29598164577151E15,1.29598164577151E15,NeedManualLabel
192.168.3.131-65.54.95.68-56255-80-6,192.168.3.131,56255,65.54.95.68,80,6,26/01/2011 01:54:09 AM,3874345,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5162162894631221,3874345.0,0.0,3874345.0,3874345.0,3874345.0,3874345.0,0.0,3874345.0,3874345.0,0,0,0,0,0,0,0,0,0,40,0,0.5162162894631221,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16425,0,0,20,0,0,0,0,1.29598164940579E15,0.0,1.29598164940579E15,1.29598164940579E15,NeedManualLabel
192.168.3.131-65.54.95.75-56257-80-6,192.168.3.131,56257,65.54.95.75,80,6,26/01/2011 01:54:09 AM,3884290,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5148946139448908,3884290.0,0.0,3884290.0,3884290.0,3884290.0,3884290.0,0.0,3884290.0,3884290.0,0,0,0,0,0,0,0,0,0,40,0,0.5148946139448908,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16425,0,0,20,0,0,0,0,1.295981649396069E15,0.0,1.295981649396069E15,1.295981649396069E15,NeedManualLabel
192.168.3.131-65.54.95.75-56256-80-6,192.168.3.131,56256,65.54.95.75,80,6,26/01/2011 01:54:09 AM,3883498,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5149996214752782,3883498.0,0.0,3883498.0,3883498.0,3883498.0,3883498.0,0.0,3883498.0,3883498.0,0,0,0,0,0,0,0,0,0,40,0,0.5149996214752782,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16129,0,0,20,0,0,0,0,1.295981649396919E15,0.0,1.295981649396919E15,1.295981649396919E15,NeedManualLabel
10.0.2.15-64.4.9.254-2527-1863-6,10.0.2.15,2527,64.4.9.254,1863,6,26/01/2011 01:54:15 AM,541577,7,7,140.0,235.0,80.0,0.0,20.0,30.088757590391356,188.0,0.0,33.57142857142857,69.20948187172318,692.4223148324246,25.850433087077185,41659.769230769234,77900.51017714181,181417.0,20.0,541577.0,90262.83333333334,149450.82097655625,357138.0,244.0,359489.0,59914.833333333336,90480.14279921682,177627.0,91.0,0,0,0,0,148,144,12.925216543538593,12.925216543538593,0.0,188.0,25.0,50.34594607030725,2534.714285714286,1,2,0,6,13,0,0,0,1.0,26.785714285714285,20.0,33.57142857142857,0,0,0,375,6,1044,0,10,0,16,64240,8760,3,20,0,0,0,0,1.295981655952795E15,0.0,1.295981655952795E15,1.295981655952795E15,NeedManualLabel
64.4.9.254-10.0.2.15-1863-2527-6,64.4.9.254,1863,10.0.2.15,2527,6,26/01/2011 01:54:16 AM,37,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81081.08108108108,18.5,12.020815280171307,27.0,10.0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8760,64005,0,20,0,0,0,0,1.295981656496221E15,0.0,1.295981656496221E15,1.295981656496221E15,NeedManualLabel
10.0.2.15-65.54.186.19-2526-443-6,10.0.2.15,2526,65.54.186.19,443,6,26/01/2011 01:54:15 AM,710286,19,32,4658.0,20119.0,1460.0,0.0,245.1578947368421,490.0246323919617,1460.0,0.0,628.7187499999999,496.4413511392537,34883.13158361561,71.80206283102864,14205.720000000005,34874.81323015748,205962.0,4.0,702294.0,39016.33333333333,58096.7595876761,207134.0,27.0,654704.0,21119.48387096774,42038.85982823588,205962.0,4.0,0,0,0,0,388,644,26.74978811352047,45.05227471750816,0.0,1460.0,476.4807692307693,522.956958090322,273483.98001508287,1,2,0,27,50,0,0,0,1.0,485.8235294117647,245.1578947368421,628.71875,0,0,0,24777,31,38908,0,91,0,394,64240,8760,6,20,0,0,0,0,1.295981655935733E15,0.0,1.295981655935733E15,1.295981655935733E15,NeedManualLabel
10.0.2.15-65.54.186.19-2526-443-6,10.0.2.15,2526,65.54.186.19,443,6,26/01/2011 01:54:16 AM,2188,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,914.0767824497259,2188.0,0.0,2188.0,2188.0,2188.0,2188.0,0.0,2188.0,2188.0,0,0,0,0,0,0,0,0,0,40,0,914.0767824497259,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,63565,0,0,20,0,0,0,0,1.295981656646046E15,0.0,1.295981656646046E15,1.295981656646046E15,NeedManualLabel
192.168.3.131-208.82.236.129-58487-80-6,192.168.3.131,58487,208.82.236.129,80,6,26/01/2011 01:54:02 AM,14361089,3,4,591.0,2337.0,591.0,0.0,197.0,341.2140090910688,1460.0,0.0,584.25,715.3872494437308,203.88425975216782,0.4874282166206198,2393514.833333333,5808528.632381265,1.4249995E7,0.0,1.4299307E7,7149653.5,1.0041399246780526E7,1.4249995E7,49312.0,1.4311826E7,4770608.666666666,8262244.649055868,1.4311027E7,0.0,0,0,0,0,72,92,0.20889780712312278,0.278530409497497,0.0,1460.0,366.0,557.8481616251607,311194.5714285714,1,2,0,3,6,0,0,0,1.0,418.2857142857143,197.0,584.25,0,0,0,0,0,0,0,84,0,333,8192,4971,1,20,49312.0,0.0,49312.0,49312.0,6.47990828592824E14,9.163973979368151E14,1.295981642935653E15,1.4249995E7,NeedManualLabel
192.168.3.131-208.82.236.129-58487-80-6,192.168.3.131,58487,208.82.236.129,80,6,26/01/2011 01:54:17 AM,780,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2564.102564102564,780.0,0.0,780.0,780.0,780.0,780.0,0.0,780.0,780.0,0,0,0,0,0,0,0,0,0,40,0,2564.102564102564,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16425,0,0,20,0,0,0,0,1.295981657296769E15,0.0,1.295981657296769E15,1.295981657296769E15,NeedManualLabel
